-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.11097bab128ef916dc934b2fa2acp+754,-0x1.c5590be3e59527cf6f888bd70819p+753
0x1.e1f54fcafc5d55df19b94b903d84p+758,-0x1.8e2defd12e1ecb8b505e1ab6d382p+758
0x1.ab405c72c388fad446136eb9eb9bp+763,-0x1.5f45ddf901d7c21a39568a4e581ep+763
0x1.7c6bfbdaa3cfcb655c71e5712124p+768,-0x1.37420e61d388d408c57789d7e311p+768
0x1.5435b39071c11302ddc6f93579d3p+773,-0x1.1502feab97b44b383d142b78843fp+773
0x1.319379bf961a294955534abc13a6p+778,-0x1.ef388bbc48c12bb53d104f944372p+777
0x1.13a925e59abc15dc16a9075bbed1p+783,-0x1.bc95c3acda2cf8e575457a76d68cp+782
0x1.f37ff32919e0fec300d92a89fdbbp+787,-0x1.90daee8dea61f56daf8f44a6795ep+787
0x1.c67fa353f166d298154a202a11a3p+792,-0x1.6afc36848f7a5ab046ab0b90a6c4p+792
0x1.9f535149954c6d2819d1b870d279p+797,-0x1.4a1aa8ba1810be7e35fd09d709d3p+797
0x1.7d264b1991e85e8a1a748450feb3p+802,-0x1.2d7c268de5309c90bae57a7ea789p+802
0x1.5f4602e77613dc8fcabb366685efp+807,-0x1.1484e109b4c0368cc177fa1752bbp+807
0x1.451c31e777ce8d4dbe3dfcf20cb7p+812,-0x1.fd641eb0d265381f861ae5dae0eap+811
0x1.2e2a0fda06cb872a884001e75ca0p+817,-0x1.d72b435abcf50422bb60d93c0403p+816
0x1.1a04697083a0c8f99101b982eb0dp+822,-0x1.b5a57e22afab230a21d8b3e1c495p+821
0x1.08506af039b79da261abb1894c95p+827,-0x1.9835cd7cc1aa0a234b170930e790p+826
0x1.f181fa05911fb4d942890f7d2e64p+831,-0x1.7e572b704bc631a1d0b85edeecddp+831
0x1.d62930de426fa788c7a5f7ae52c7p+836,-0x1.6798af3e1df120fb811514e13351p+836
0x1.be26f5b22229fff9100662eba073p+841,-0x1.539a5d73a667bfe5179eb3b88b3ap+841
0x1.a91c55da534d8e71070df6d7232dp+846,-0x1.420a864ae0db85188586df2c17cbp+846
0x1.96b87b90b4ecddc91e900a946d61p+851,-0x1.32a3987fa6d58f68dd585c2480f5p+851
0x1.86b6a44a099e0d9c33b635f1007cp+856,-0x1.252a53c53537678e77acb705009bp+856
0x1.78dc700f27fbfdf503a67510aa28p+861,-0x1.196c4a07cebff2d4f3ffeb1142eep+861
0x1.6cf87acf3adcda2bc42eeae377b6p+866,-0x1.0f3ea1dc7d8c6191a69d627a0c37p+866
0x1.62e1337ddae9f310a30f1517b1aap+871,-0x1.067d0f1682c0799beaef62aaf15ap+871
0x1.5a73e71f2b53922819ac9075262ap+876,-0x1.fe11f120afe459e7ea415b7f23bcp+875
0x1.5393f7c67374d4faaf75541d69eap+881,-0x1.f19187cf0cd6aa025c01bd6e1d78p+880
0x1.4e2a39177223133fe211a8f879dbp+886,-0x1.e74e8297990387042cb5d41d2580p+885
0x1.4a246d21d8d28e75e6efcad729abp+891,-0x1.df26654725ceaef4bd1a86fb6c86p+890
0x1.4774dd7f7231f1c97a163bbc34a2p+896,-0x1.d8fdd46d80967c24178bd128eefap+895
